Longitude,Latitude
10.7000678,51.4825313
10.7006025,51.4828535
10.7011341,51.4831769
10.7016378,51.4834749
10.7020997,51.4837281
10.7026893,51.4840495
10.7032836,51.4843534
10.7034408,51.4844296
10.7040953,51.484757
10.7048994,51.4851452
10.7053874,51.4853662
10.7057255,51.4855193
10.7066165,51.4858928
10.7074689,51.4862442
10.7084077,51.486605
10.7097976,51.487102
10.710664,51.4873841
10.7110905,51.4875229
10.7124638,51.4879371
10.7136058,51.4882484
10.7145446,51.4884956
10.7159072,51.4888062
10.7167916,51.4889995
