Longitude,Latitude
28.176524,39.5579104
28.1767929,39.55763
28.1774256,39.5571666
28.1776312,39.5568983
28.1776945,39.5566849
28.1777103,39.5563861
28.1777103,39.5559654
28.1777656,39.5557702
28.1780029,39.5556605
28.1784141,39.5555873
28.1786435,39.5554958
28.1801066,39.554197
28.1803122,39.5539287
28.1804387,39.5535385
28.1804308,39.553258
28.1803597,39.5530751
28.1801224,39.5528372
28.1797982,39.5525141
28.1792683,39.5511847
28.1791259,39.5509957
28.1788017,39.5507517
28.1782797,39.550081
28.1782323,39.5497578
28.1785723,39.5478734
28.1785881,39.5476112
28.1784141,39.5463671
28.1784537,39.5461171
28.1788254,39.5453975
28.1792604,39.544873
28.1795451,39.5446535
28.1802489,39.544129
28.1806048,39.5438119
28.1807867,39.5434947
28.1809686,39.5430983
28.1812375,39.5423726
28.1815539,39.5412748
28.182639,39.539438
28.1828113,39.5391463
28.1833807,39.5385242
28.1838869,39.5381521
28.1842349,39.5377984
28.1852946,39.5362004
28.1854291,39.5358832
28.1853895,39.5356697
28.185263,39.5354929
28.1850257,39.5352489
28.1846303,39.5349927
28.1843456,39.5347365
28.1841004,39.5344682
28.1838236,39.5340229
28.1835943,39.5335837
28.1834282,39.5334495
28.1827639,39.5331202
28.1812612,39.5323943
28.1804387,39.5319551
28.179988,39.5316136
28.1794818,39.5311317
28.1790547,39.5306864
28.1787859,39.5302716
28.1786593,39.5298812
28.1786277,39.5293688
28.1787305,39.527429
28.1787857,39.5272069
28.1788017,39.5271423
28.1802173,39.5241288
28.1805099,39.5237445
28.1808658,39.5234029
28.1812771,39.5231406
28.1820126,39.5228111
28.1823922,39.5225549
28.1826452,39.5222377
28.1827955,39.5219144
28.1828034,39.5215788
28.1827797,39.5211579
28.1827164,39.5207736
28.1826294,39.5204685
28.1821075,39.5194924
28.1820284,39.5192789
28.1820205,39.5189922
28.1820126,39.5188274
28.1819335,39.5186566
28.1817358,39.5183516
28.1816567,39.5181014
28.1818228,39.5173327
28.1818738,39.5166678
28.1820552,39.5159417
28.1820949,39.5155393
28.1821119,39.5150231
28.1820496,39.51473
28.1819021,39.5142007
28.1818171,39.5133127
28.1817661,39.5130458
28.1816356,39.5128096
28.1814428,39.5125384
28.181165,39.5122453
28.1810403,39.5120441
28.1809325,39.5117685
28.1808305,39.5113791
28.1807397,39.5108935
28.1806433,39.5106179
28.1805356,39.5103729
28.1778536,39.5061688
28.1777005,39.505915
28.1775927,39.505635
28.1775077,39.5052588
28.1773595,39.5034602
