Latitude,Longitude
34.7327336,37.6351946
34.7325926,37.6360641
34.7323783,37.637102
34.7321,37.6381774
34.7318216,37.6391515
34.7315345,37.6400448
34.7311992,37.6408383
34.7302351,37.6433141
34.7290475,37.6465509
34.7284258,37.6482733
34.7281123,37.6492257
34.7277918,37.6500177
34.7274607,37.6506756
34.7271899,37.6510953
34.7267267,37.651747
34.726452,37.6521104
34.7258739,37.6527484
34.7255203,37.653111
34.7249197,37.6536043
34.7245518,37.6538778
34.724178,37.6541138
34.723712,37.6543823
34.7231794,37.654645
34.7224281,37.6549846
34.7214845,37.655323
34.7206592,37.6555866
34.7198733,37.6557696
34.7189633,37.6559157
34.717869,37.6560257
34.7167776,37.6560545
34.715596,37.655997
34.7138425,37.6557984
34.7110984,37.6553862
34.7079021,37.6549039
34.7054306,37.6545309
34.7027964,37.6541333
34.6929302,37.6526484
34.6869591,37.6517295
34.6858574,37.6516043
34.6846086,37.651498
34.6836237,37.6514373
34.6814295,37.6513794
34.6792571,37.6513822
34.6764436,37.6513906
34.6756901,37.651386
