Longitude,Latitude
12.0708679,52.3457872
12.0711472,52.3460544
12.0714762,52.3464268
12.0719438,52.3469243
12.072295,52.3472753
12.0723869,52.3473362
12.0724647,52.3473748
12.0725183,52.3474309
12.0725464,52.3474992
12.0725776,52.3475488
12.0726603,52.3476398
12.0729401,52.3479306
12.0731339,52.3481398
12.0733312,52.3483448
12.0733655,52.3483866
12.0733832,52.3484223
12.0733999,52.348479
12.0734364,52.3485356
12.0734922,52.3486123
12.0735707,52.348687
12.0736165,52.3487401
12.0737034,52.3488001
12.0738212,52.3488716
12.0742618,52.3493398
12.0743041,52.3493887
12.0743147,52.3494646
12.0746482,52.3498428
12.0746339,52.3499202
