Longitude,Latitude
12.0029023,52.3168937
12.0030359,52.3169401
12.0031943,52.3169952
12.0033029,52.3170174
12.0034054,52.3170234
12.0035255,52.3170125
12.0036486,52.3169796
12.0037329,52.3169418
12.003815,52.3168939
12.0038819,52.3168318
12.0039238,52.316771
12.0039695,52.3166299
12.004014,52.3165517
12.0040632,52.3164864
12.0041293,52.316422
12.0042192,52.3163567
12.0043359,52.3162905
12.0044543,52.3162425
12.0048655,52.3160866
12.0053454,52.3158983
12.0054272,52.3158734
12.0055013,52.3158635
12.0055586,52.3158635
12.0056021,52.3158745
12.0056408,52.3159091
12.0056598,52.3159404
12.005672,52.3159754
