Longitude,Latitude
12.0841008,52.3523971
12.0838135,52.352465
12.0836147,52.3525127
12.0834645,52.3525607
12.0832822,52.3526278
12.0831806,52.3526634
12.0831013,52.3527014
12.0830165,52.3527273
12.0829307,52.3527401
12.0828306,52.3527405
12.0827025,52.352724
12.0824889,52.3526825
12.0824149,52.3526628
12.0823751,52.3526396
12.0823588,52.3526158
12.0823577,52.3525896
12.0823711,52.3525613
12.0824029,52.3525372
12.0824514,52.3525192
12.0824928,52.3525212
12.0825532,52.3525412
12.0828275,52.3526345
12.0829096,52.3526519
12.0830086,52.3526639
12.0831806,52.3526634
