Longitude,Latitude
12.0937741,52.3182807
12.0938468,52.3183139
12.0939332,52.3183395
12.0940035,52.3183667
12.0940417,52.3183976
12.0941182,52.3185499
12.0941675,52.3186276
12.0942465,52.3186962
12.0943513,52.318767
12.0944537,52.3188085
12.0945376,52.318853
12.0946906,52.3191456
12.0947263,52.3191863
12.0947769,52.3192104
12.0948571,52.319227
12.0949533,52.3192255
12.095052,52.3192059
12.095147,52.3191614
12.0952136,52.3191222
12.0953357,52.3190724
12.0954714,52.31904
12.0959722,52.3189729
12.0972119,52.3187422
12.0975313,52.3186886
12.0977472,52.3186705
12.0978619,52.3186374
12.0979396,52.3185876
12.0980618,52.31847
12.0980914,52.3183833
12.0981037,52.3183033
12.0980766,52.3182272
12.0979877,52.3181284
12.097841,52.3180515
12.0977077,52.3179618
12.0975722,52.3177612
12.0971166,52.316886
12.0976092,52.3167706
12.0977755,52.3167316
12.097995,52.3166816
