Longitude,Latitude
13.0014564,52.0008305
13.0018134,51.9999554
13.0019793,51.9995754
13.0020092,51.9994913
13.0020261,51.9994047
13.0020341,51.9992654
13.0020066,51.9991286
13.0019008,51.9986025
13.0018823,51.9985101
13.0016837,51.9975156
13.0016732,51.9974631
13.0016302,51.997248
13.0015534,51.9968617
13.0015308,51.9967477
13.001436,51.9962707
13.0012011,51.9950789
13.0011692,51.9949447
13.0011063,51.9948229
13.0010231,51.9947248
13.0009087,51.9946197
13.0008112,51.9945189
13.0007357,51.9944238
13.0006748,51.9943053
13.0006402,51.9941719
13.0006304,51.9940639
13.0006451,51.9939281
13.0006888,51.9938042
13.0007701,51.9936719
13.0008401,51.9935796
13.0009442,51.9934612
13.0011123,51.9933386
13.0013074,51.9932161
13.0015016,51.9931282
13.0016569,51.9930616
13.0018708,51.9929947
13.0020659,51.9929533
13.0022728,51.9929269
13.0025207,51.9929052
13.0027708,51.9928997
13.0029888,51.9929099
13.0031922,51.9929338
13.0034062,51.992978
13.0036448,51.9930484
13.0038688,51.9931244
13.0040375,51.9931664
13.0042243,51.9931955
13.0043911,51.99321
13.0045619,51.9932164
13.0047601,51.9932154
13.004938,51.9932111
13.0051378,51.9931903
13.0053558,51.9931518
13.0055214,51.9930975
13.0057045,51.993026
13.0058665,51.9929553
13.0060299,51.992865
13.0061601,51.992773
13.00628,51.992669
13.0064017,51.9925208
13.0064921,51.9923699
13.0067054,51.9918214
13.0071828,51.9905938
13.0072516,51.990417
13.0074431,51.9900105
13.00753,51.9899151
13.0076314,51.9898432
13.0076466,51.989832
13.0077205,51.9897895
13.0077639,51.9897763
13.007881,51.9897547
