Longitude,Latitude
13.0026971,51.9921794
13.0004453,51.9899604
13.0003848,51.989881
13.0003479,51.9897222
13.0003506,51.989403
13.0004092,51.9887918
13.0004383,51.9884892
13.001603,51.9879805
13.001856,51.9879392
13.0020533,51.9878751
13.002831,51.9876321
13.0029613,51.9875634
13.0043461,51.9871691
13.0052077,51.9866017
13.0053288,51.9865636
13.0060006,51.9863463
13.0061795,51.9862685
13.0072279,51.9859595
13.0080168,51.9858083
13.0091853,51.9856937
13.0112712,51.985358
13.0114907,51.9853205
13.0117026,51.9852904
13.0143865,51.98485
13.0156802,51.9846729
13.016642,51.9844922
13.0189731,51.9840706
13.0207336,51.9838045
