Latitude,Longitude
34.5865137,37.6451914
34.5867517,37.6452282
34.5875857,37.6453571
34.5883761,37.6453989
34.5889675,37.6454301
34.5892755,37.6454258
34.5902614,37.6454121
34.5906872,37.6454071
34.5910627,37.645403
34.5931339,37.6453806
34.594076,37.6453704
34.5949613,37.645397
34.5954984,37.6454635
34.5981921,37.6460548
34.6046647,37.6473767
34.6063178,37.6476691
34.6097835,37.6482737
34.6126535,37.6487986
34.6154814,37.6493102
34.6185863,37.6498484
34.6195598,37.6501474
34.6207681,37.650566
34.6210595,37.650748
34.6217192,37.6513147
34.6218921,37.6514632
34.6222218,37.6517226
34.6232638,37.652347
34.6234876,37.6524811
34.6236275,37.652686
34.6237394,37.6527691
34.624117,37.6528244
34.6242779,37.652902
34.6248723,37.6533061
34.6251381,37.6534169
34.6255227,37.6535664
34.6257465,37.6536218
34.6258693,37.6536362
34.6261241,37.653666
34.6266201,37.6537829
34.6271365,37.6539045
34.6278166,37.6540647
34.628383,37.6541699
34.6288096,37.6542308
34.6291873,37.6542474
34.6303063,37.6541478
34.6306629,37.654109
34.6310546,37.6539983
34.6319008,37.6536328
34.6322854,37.6535165
34.6325792,37.6534667
34.6333904,37.6534169
34.6362507,37.6531345
34.638167,37.6529347
34.6399901,37.65275
34.6415854,37.6525754
34.6438399,37.6523286
34.6460168,37.6519269
34.64693,37.6516421
34.6523722,37.6498236
34.6542908,37.6492539
34.6547986,37.6491479
34.6551528,37.6490872
34.6554303,37.6491199
34.6561505,37.6492648
34.6564162,37.6492694
34.6567586,37.6491573
34.6569652,37.6490124
34.6572604,37.64876
34.6579629,37.6481617
34.6582403,37.6479887
34.6590373,37.6476896
34.6595627,37.6475447
34.6599464,37.6475073
34.6604659,37.647526
34.6611271,37.6476054
34.6626325,37.6476522
34.6645275,37.6477457
34.6655193,37.6477503
34.6670542,37.647727
34.668412,37.6476615
34.6689669,37.6476241
34.6718833,37.6476054
34.6736484,37.647554
34.6755552,37.6475119
34.6757555,37.647503
34.6761869,37.6474839
34.6770016,37.6474559
34.678808,37.6475353
34.6798706,37.6476195
34.6811812,37.6477083
34.6846347,37.6481336
34.685963,37.6483627
34.6871673,37.6486057
34.6879466,37.6486992
34.6884897,37.6488114
34.6908216,37.6495032
34.6933524,37.6501361
34.6943973,37.6504399
34.6950585,37.6506362
34.6957374,37.6509306
34.6961447,37.6511083
34.6965462,37.6511971
34.6978036,37.6514167
34.698636,37.651585
34.7038171,37.6529686
34.7069257,37.6538011
34.7075898,37.6539983
34.7086485,37.6543817
34.709324,37.6546263
34.7097575,37.6547286
34.7102372,37.6547505
34.711713,37.654714
34.7121004,37.6547505
34.7124141,37.6548381
34.7126723,37.6550061
34.712783,37.6552909
