Latitude,Longitude
34.7188366,37.6494332
34.7187483,37.6501667
34.7186601,37.6503273
34.7183866,37.6504112
34.7177778,37.6503413
34.716869,37.6500968
34.7162426,37.6498383
34.7155544,37.6494681
34.7153162,37.6494402
34.7151662,37.6496078
34.7146545,37.6499431
34.7143809,37.650027
34.7134545,37.6499478
34.7130897,37.6498659
34.7127468,37.6497396
34.7123275,37.6494312
34.7120956,37.6493403
34.7119426,37.6492803
34.7114993,37.6492518
34.7112255,37.6493637
34.7108999,37.6495324
34.7103199,37.6498932
34.7099471,37.6500198
34.7094499,37.6502025
34.7092487,37.6503712
34.7091658,37.650493
34.7092132,37.6506196
34.7093138,37.650896
34.7092073,37.6511959
34.7090475,37.6518098
34.7087516,37.6528688
34.7087338,37.6531218
34.7087279,37.6535669
34.7086214,37.6539699
34.7086214,37.6542042
34.7086485,37.6543817
